Region,WRI,Exposure,Vulnerability,Susceptibility,Lack of Coping Capabilities,Lack of Adaptive Capacities,Year,Exposure Category,WRI Category,Vulnerability Category,Susceptibility Category
Neuseeland,5.11,17.73,28.81,16.16,48.57,21.7,2020,High,Low,Very Low,Very Low
Ungarn,5.07,15.24,33.28,16.01,58.65,25.19,2020,High,Low,Very Low,Very Low
Iran,5.03,10.96,45.85,19.78,83.24,34.53,2020,Low,Low,Medium,Low
Türkei,5.03,12.29,40.96,18.17,72.92,31.8,2020,Medium,Low,Low,Low
Brasilien,4.91,11.33,43.33,22.57,76.28,31.14,2020,Low,Low,Medium,Medium
Bosnien und Herzegowina,4.8,11.18,42.95,18.65,74.24,35.95,2020,Low,Low,Medium,Low
Bolivien,4.78,9.56,50.01,32.36,79.97,37.71,2020,Low,Low,High,High
Nepal,4.77,8.62,55.28,33.7,83.34,48.81,2020,Very Low,Low,High,High
Italien,4.75,15.17,31.29,17.25,59.22,17.41,2020,High,Low,Very Low,Low
St. Lucia,4.7,10.24,45.88,24.22,75.67,37.74,2020,Low,Low,Medium,Medium
Australien,4.54,18.08,25.1,15.61,43.53,16.17,2020,High,Low,Very Low,Very Low
Irland,4.5,16.68,26.96,15.74,47.49,17.64,2020,High,Low,Very Low,Very Low
Kuwait,4.48,12.43,36.01,13.04,70.36,24.63,2020,Medium,Low,Low,Very Low
Laos,4.47,8.02,55.76,33.26,82.79,51.23,2020,Very Low,Low,High,High
Bahamas,4.38,11.77,37.25,18.24,58.45,35.07,2020,Low,Low,Low,Low
Botswana,4.2,8.82,47.59,31.46,71.97,39.35,2020,Very Low,Low,Medium,High
Bulgarien,4.17,11.88,35.12,21.18,59.38,24.81,2020,Low,Low,Low,Medium
Kroatien,4.13,12.11,34.14,17.06,62.91,22.46,2020,Low,Low,Low,Low
Jordanien,4.13,9.18,45.04,23.57,68.27,43.28,2020,Very Low,Low,Medium,Medium
Moldawien,4.04,9.59,42.1,22.96,68.98,34.36,2020,Low,Low,Low,Medium
Ver. Staaten von Amerika,3.9,12.99,30.06,15.97,52.54,21.67,2020,Medium,Low,Very Low,Very Low
Portugal,3.66,11.62,31.54,16.76,54.68,23.17,2020,Low,Low,Very Low,Low
Spanien,3.61,11.74,30.77,16.07,57.42,18.82,2020,Low,Low,Very Low,Very Low
Kasachstan,3.58,9.54,37.54,17.09,66.62,28.92,2020,Very Low,Low,Low,Low
Russische Föderation,3.55,9.59,37.04,18.43,64.88,27.8,2020,Low,Low,Low,Low
Argentinien,3.5,9.55,36.7,20.78,58.91,30.41,2020,Very Low,Low,Low,Low
Vereinigtes Königreich,3.46,12.58,27.53,16.42,47.07,19.09,2020,Medium,Low,Very Low,Very Low
Libyen,3.41,7.38,46.23,21.93,82.5,34.25,2020,Very Low,Low,Medium,Medium
Slowenien,3.41,11.39,29.91,14.72,55.73,19.27,2020,Low,Low,Very Low,Very Low
Paraguay,3.38,7.04,47.99,24.04,79.15,40.79,2020,Very Low,Low,Medium,Medium
Slowakei,3.37,10.1,33.33,14.54,60.79,24.66,2020,Low,Low,Very Low,Very Low
Vereinigte Arabische Emirate,3.3,10.99,30.01,9.55,54.61,25.86,2020,Low,Low,Very Low,Very Low
Südkorea,3.14,11.32,27.74,13.52,49.41,20.29,2020,Low,Very Low,Very Low,Very Low
Österreich,3.06,13.19,23.18,14.08,40.1,15.35,2020,Medium,Very Low,Very Low,Very Low
Polen,3.04,9.45,32.14,15.34,58.82,22.27,2020,Very Low,Very Low,Very Low,Very Low
Tschechische Republik,3,10.77,27.89,14.77,48.08,20.83,2020,Low,Very Low,Very Low,Very Low
Zypern,2.99,8.42,35.57,15.15,67.16,24.4,2020,Very Low,Very Low,Low,Very Low
Lettland,2.99,8.81,33.9,18.6,59.63,23.48,2020,Very Low,Very Low,Very Low,Low
Bhutan,2.97,6.27,47.4,24.17,72.82,45.2,2020,Very Low,Very Low,Medium,Medium
Mongolei,2.97,6.89,43.15,28.4,65.43,35.62,2020,Very Low,Very Low,Medium,High
Israel,2.95,8.35,35.27,18.54,64.7,22.57,2020,Very Low,Very Low,Low,Low
Bahrain,2.91,7.33,39.64,15.57,76,27.36,2020,Very Low,Very Low,Low,Very Low
Kanada,2.79,10.36,26.89,15.17,46.73,18.77,2020,Low,Very Low,Very Low,Very Low
Oman,2.76,6.7,41.18,22.49,66.58,34.48,2020,Very Low,Very Low,Low,Medium
Ukraine,2.75,6.91,39.76,19.65,67.43,32.19,2020,Very Low,Very Low,Low,Low
Dänemark,2.74,11.85,23.12,14.91,39.13,15.31,2020,Low,Very Low,Very Low,Very Low
Weißrussland,2.67,7.96,33.5,16.49,58.67,25.33,2020,Very Low,Very Low,Very Low,Very Low
Belgien,2.66,11.38,23.37,14.79,40.74,14.59,2020,Low,Very Low,Very Low,Very Low
Deutschland,2.63,11.52,22.81,14.98,37.36,16.08,2020,Low,Very Low,Very Low,Very Low
São Tomé and Príncipe,2.58,4.55,56.74,46.44,76.64,47.13,2020,Very Low,Very Low,High,Very High
Singapur,2.57,8.87,28.97,11.29,54.03,21.6,2020,Very Low,Very Low,Very Low,Very Low
Norwegen,2.52,10.83,23.25,13.92,38.49,17.34,2020,Low,Very Low,Very Low,Very Low
Luxemburg,2.5,9.56,26.18,12.4,46.1,20.03,2020,Low,Very Low,Very Low,Very Low
Frankreich,2.47,9.62,25.66,16.61,44.14,16.22,2020,Low,Very Low,Very Low,Very Low
Litauen,2.26,7.37,30.71,17.98,53.11,21.04,2020,Very Low,Very Low,Very Low,Low
Schweden,2.2,8.82,24.96,15.6,41.19,18.08,2020,Very Low,Very Low,Very Low,Very Low
Schweiz,2.15,9.01,23.9,13.91,38.46,19.32,2020,Very Low,Very Low,Very Low,Very Low
Malediven,2.12,4.77,44.4,17.45,76.51,39.23,2020,Very Low,Very Low,Medium,Low
Estland,2.03,6.52,31.11,16.44,55.21,21.68,2020,Very Low,Very Low,Very Low,Very Low
Finnland,1.96,8.22,23.8,15.66,39.81,15.93,2020,Very Low,Very Low,Very Low,Very Low
Ägypten,1.78,3.72,47.98,22.01,82.39,39.54,2020,Very Low,Very Low,Medium,Medium
Island,1.69,7.12,23.79,14.1,42.32,14.94,2020,Very Low,Very Low,Very Low,Very Low
Barbados,1.39,3.66,37.94,20.56,60.62,32.65,2020,Very Low,Very Low,Low,Low
Saudi-Arabien,1.04,2.89,36.07,13.62,68.03,26.57,2020,Very Low,Very Low,Low,Very Low
Grenada,0.97,2.21,43.8,26.83,68.9,35.67,2020,Very Low,Very Low,Medium,Medium
St. Vincent u. d. Grenadinen,0.81,1.85,43.79,28.2,71.77,31.39,2020,Very Low,Very Low,Medium,High
Malta,0.66,2.26,29.01,14.91,51.67,20.44,2020,Very Low,Very Low,Very Low,Very Low
Katar,0.31,0.91,34.33,8.32,64.58,30.08,2020,Very Low,Very Low,Low,Very Low
Vanuatu,47.73,82.55,57.82,39.66,81.21,52.59,2021,Very High,Very High,High,High
Salomonen,31.16,51.13,60.95,46.07,81.14,55.63,2021,Very High,Very High,High,Very High
Tonga,30.51,63.63,47.95,28.42,79.81,35.62,2021,Very High,Very High,Medium,High
Dominica,27.42,61.74,44.41,23.42,71.13,38.67,2021,Very High,Very High,Medium,Medium
Antigua und Barbuda,27.28,67.73,40.28,23.8,64.41,32.62,2021,Very High,Very High,Low,Medium
Brunei Darussalam,22.77,58.17,39.14,15.33,68.13,33.96,2021,Very High,Very High,Low,Very Low
Guyana,21.83,43.93,49.69,25.96,77.23,45.88,2021,Very High,Very High,High,Medium
Philippinen,21.39,42.68,50.11,28.63,82.14,39.56,2021,Very High,Very High,High,High
Papua-Neuguinea,20.9,30.62,68.27,55.28,86.16,63.37,2021,Very High,Very High,Very High,Very High
Guatemala,20.23,36.79,54.98,32.55,85.66,46.72,2021,Very High,Very High,High,High
Kap Verde,17.72,37.23,47.59,28.86,72.71,41.21,2021,Very High,Very High,Medium,High
Costa Rica,17.06,44.27,38.54,19.96,65.33,30.34,2021,Very High,Very High,Low,Low
Bangladesch,16.23,28.11,57.74,32.57,85.57,55.07,2021,Very High,Very High,High,High
Fidschi,16.06,34.51,46.55,22.06,76.63,40.95,2021,Very High,Very High,Medium,Medium
Kambodscha,15.8,26.89,58.76,38.89,86.61,50.79,2021,Very High,Very High,High,High
Timor-Leste,15.75,28.27,55.73,41.83,75.72,49.64,2021,Very High,Very High,High,High
Dschibuti,15.48,25.78,60.03,36.19,84.33,59.58,2021,Very High,Very High,High,High
El Salvador,15.32,31.62,48.46,24.31,78.66,42.41,2021,Very High,Very High,High,Medium
Kiribati,15.14,26.41,57.34,39.67,82.82,49.52,2021,Very High,Very High,High,High
Komoren,14.91,23.62,63.13,45.93,85.39,58.06,2021,Very High,Very High,Very High,Very High
Haiti,14.54,21.41,67.91,49.93,90.36,63.44,2021,Very High,Very High,Very High,Very High
Nicaragua,14.12,26.02,54.25,32.27,83.29,47.19,2021,Very High,Very High,High,High
Niger,13.9,19.27,72.15,61.72,87.91,66.83,2021,High,Very High,Very High,Very High
Guinea-Bissau,13.39,18.88,70.92,60.17,89.2,63.39,2021,High,Very High,Very High,Very High
Kamerun,13.07,20.35,64.21,47.38,88.58,56.66,2021,Very High,Very High,Very High,Very High
Nigeria,12.66,19.64,64.46,49.7,88.58,55.1,2021,High,Very High,Very High,Very High
Uruguay,12.53,35.97,34.83,19.22,54.25,31.01,2021,Very High,Very High,Low,Low
Gambia,12.4,19.75,62.78,43.58,83.02,61.73,2021,High,Very High,Very High,High
Jamaika,12.02,25.92,46.37,24.92,74.52,39.67,2021,Very High,Very High,Medium,Medium
Tschad,11.94,15.76,75.75,64.96,92.16,70.13,2021,High,Very High,Very High,Very High
Benin,11.71,17.92,65.33,54.09,81.42,60.49,2021,High,Very High,Very High,Very High
Dominikanische Republik,11.49,24.72,46.48,23.35,78.34,37.76,2021,Very High,Very High,Medium,Medium
Chile,11.32,32.51,34.83,17.79,59.44,27.25,2021,Very High,Very High,Low,Low
Honduras,11.23,20.66,54.35,31.62,85.74,45.68,2021,Very High,Very High,High,High
Burkina Faso,11.19,16.59,67.48,57.08,84.39,60.98,2021,High,Very High,Very High,Very High
Togo,10.99,16.6,66.23,55.77,86.14,56.79,2021,High,Very High,Very High,Very High
Mali,10.71,15.61,68.64,49.75,88.6,67.58,2021,High,High,Very High,Very High
Indonesien,10.67,21.3,50.1,26.06,78.71,45.54,2021,Very High,High,High,Medium
Madagaskar,10.44,14.97,69.71,65.83,86.32,56.97,2021,High,High,Very High,Very High
Burundi,10.42,14.88,70.02,62.29,90.43,57.34,2021,High,High,Very High,Very High
Kenia,10.33,16.63,62.13,50.8,85.5,50.1,2021,High,High,Very High,Very High
Angola,10.28,15.61,65.86,52.89,86.89,57.8,2021,High,High,Very High,Very High
Vietnam,10.27,22.04,46.6,23.73,76.73,39.34,2021,Very High,High,Medium,Medium
Elfenbeinküste,9.98,15.57,64.1,47.26,85.61,59.43,2021,High,High,Very High,Very High
Senegal,9.79,16.5,59.31,44.64,77.87,55.42,2021,High,High,High,High
Japan,9.66,38.51,25.09,17.92,39.42,17.94,2021,Very High,High,Very Low,Low
Sierra Leone,9.4,13.65,68.87,55.15,85.39,66.07,2021,Medium,High,Very High,Very High
Ghana,9.32,16.38,56.88,41.6,78.75,50.29,2021,High,High,High,High
Simbabwe,9.3,14.51,64.11,55.02,88.44,48.88,2021,Medium,High,Very High,Very High
Mosambik,9.11,13.26,68.73,62.6,88.45,55.13,2021,Medium,High,Very High,Very High
Mauritius,9.04,23.85,37.92,17.39,58.21,38.17,2021,Very High,High,Low,Low
Tansania,8.94,13.97,64,56.49,83.21,52.3,2021,Medium,High,Very High,Very High
Malawi,8.94,13.35,66.98,59.46,84.68,56.79,2021,Medium,High,Very High,Very High
Liberia,8.92,13.48,66.17,55.63,87.16,55.73,2021,Medium,High,Very High,Very High
Ecuador,8.82,18.75,47.05,24.96,76.45,39.74,2021,High,High,Medium,Medium
Demokratische Rep. Kongo,8.78,11.86,74.04,67.76,92.8,61.55,2021,Low,High,Very High,Very High
Trinidad und Tobago,8.67,22.58,38.41,18.99,61.24,34.99,2021,Very High,High,Low,Low
Guinea,8.65,12.7,68.08,51.87,89.08,63.29,2021,Medium,High,Very High,Very High
Uganda,8.64,12.88,67.07,61.54,88.05,51.63,2021,Medium,High,Very High,Very High
Sudan,8.47,13.13,64.49,44.93,92.3,56.25,2021,Medium,High,Very High,Very High
Albanien,8.23,19.77,41.63,20.1,74.77,30.03,2021,Very High,High,Low,Low
Mauretanien,8.2,13.15,62.37,38.15,86.97,61.98,2021,Medium,High,Very High,High
Afghanistan,8.18,12.27,66.63,48.57,91.4,59.93,2021,Medium,High,Very High,Very High
Belize,8.03,16.73,47.97,28.2,74.46,41.26,2021,High,High,Medium,High
Venezuela,7.99,16.02,49.86,25.75,86.35,37.47,2021,High,High,High,Medium
Niederlande,7.98,31.75,25.13,14.66,44.34,16.4,2021,Very High,High,Very Low,Very Low
Äthiopien,7.93,11.75,67.52,56.76,87.35,58.45,2021,Low,High,Very High,Very High
Usbekistan,7.91,16.28,48.56,30.25,75.65,39.79,2021,High,High,High,High
Eswatini,7.85,13.54,57.98,42.35,82.62,48.98,2021,Medium,High,High,High
Panama,7.76,17.74,43.74,23.03,73.03,35.15,2021,High,High,Medium,Medium
Malaysia,7.73,19.09,40.49,17.05,71.19,33.22,2021,High,High,Low,Low
Sambia,7.72,12.12,63.67,61.69,81.31,48,2021,Medium,High,Very High,Very High
Algerien,7.66,16.61,46.14,22.24,76.81,39.36,2021,High,Medium,Medium,Medium
Zentralafrikanische Republik,7.64,10.08,75.83,70.52,90.56,66.41,2021,Low,Medium,Very High,Very High
Sri Lanka,7.55,15.99,47.19,23.05,76.35,42.17,2021,High,Medium,Medium,Medium
Ruanda,7.55,12.37,61.04,52.14,79.44,51.55,2021,Medium,Medium,High,Very High
Surinam,7.38,15.24,48.41,28.82,74.7,41.7,2021,High,Medium,High,High
Äquatorialguinea,7.29,12.73,57.28,40.64,86.57,44.64,2021,Medium,Medium,High,High
Kirgisistan,7.25,16.49,43.96,24.59,75.22,32.07,2021,High,Medium,Medium,Medium
Myanmar,7.25,12.92,56.11,29.42,86.27,52.64,2021,Medium,Medium,High,High
Föd. Staaten von Mikronesien,7.11,14.03,50.71,31.04,72.21,48.89,2021,Medium,Medium,High,High
Griechenland,6.93,22.23,31.18,17.42,58.93,17.2,2021,Very High,Medium,Very Low,Low
Eritrea,6.87,9.66,71.09,63.28,89.71,60.29,2021,Low,Medium,Very High,Very High
Kongo,6.84,10.56,64.76,54.39,88.63,51.26,2021,Low,Medium,Very High,Very High
Pakistan,6.8,11.95,56.88,33.57,84.71,52.37,2021,Low,Medium,High,High
Montenegro,6.75,17.8,37.92,18.57,68.2,26.99,2021,High,Medium,Low,Low
Peru,6.75,14.92,45.26,26.29,76.22,33.27,2021,High,Medium,Medium,Medium
Kolumbien,6.72,14.83,45.32,22.8,77.04,36.13,2021,Medium,Medium,Medium,Medium
Lesotho,6.66,11.1,59.98,43.97,81.5,54.47,2021,Low,Medium,High,High
Indien,6.65,12.52,53.09,32.15,78.7,48.42,2021,Medium,Medium,High,High
Gabun,6.6,12.75,51.79,32.58,75.08,47.71,2021,Medium,Medium,High,High
Thailand,6.52,14.79,44.06,17.62,78.65,35.91,2021,Medium,Medium,Medium,Low
Südafrika,6.46,13.47,47.93,30.9,73.35,39.54,2021,Medium,Medium,Medium,High
Mexiko,6.03,14.2,42.44,20.86,74.25,32.2,2021,Medium,Medium,Medium,Low
China,5.87,14.29,41.08,21.64,71.42,30.17,2021,Medium,Medium,Low,Medium
Namibia,5.86,11.3,51.89,42.89,74.11,38.66,2021,Low,Medium,High,High
Tunesien,5.85,13.08,44.74,20.9,75.5,37.83,2021,Medium,Medium,Medium,Low
Turkmenistan,5.85,12.25,47.72,27.99,76.76,38.42,2021,Medium,Medium,Medium,Medium
Tadschikistan,5.84,12.15,48.06,32.57,76.27,35.35,2021,Medium,Medium,Medium,High
Nordmazedonien,5.82,14.48,40.21,18.81,70.58,31.25,2021,Medium,Medium,Low,Low
Marokko,5.82,12.12,48,25.02,79.35,39.63,2021,Medium,Medium,Medium,Medium
Aserbaidschan,5.81,14.21,40.9,18.46,72,32.24,2021,Medium,Medium,Low,Low
Syrien,5.8,10.63,54.54,27.32,90.76,45.54,2021,Low,Medium,High,Medium
Irak,5.8,10.4,55.77,26.86,87.89,52.57,2021,Low,Medium,High,Medium
Kuba,5.75,16.3,35.26,19.7,53.28,32.79,2021,High,Medium,Low,Low
Jemen,5.72,8.27,69.12,44.85,93.17,69.34,2021,Very Low,Medium,Very High,High
Rumänien,5.71,15.39,37.11,19.47,63.14,28.71,2021,High,Medium,Low,Low
Georgien,5.69,15.14,37.56,22.15,59.22,31.32,2021,High,Medium,Low,Medium
Samoa,5.54,11.46,48.32,25.56,79.83,39.56,2021,Low,Low,Medium,Medium
Libanon,5.49,11.61,47.31,20.26,81,40.66,2021,Low,Low,Medium,Low
Serbien,5.42,13.84,39.14,21.89,68.39,27.15,2021,Medium,Low,Low,Medium
Armenien,5.4,14.23,37.92,19.62,65.37,28.76,2021,Medium,Low,Low,Low
Türkei,5.11,12.57,40.65,18.09,72.44,31.42,2021,Medium,Low,Low,Low
Ungarn,5.07,15.24,33.25,16.07,58.89,24.78,2021,High,Low,Very Low,Very Low
Iran,5.03,10.9,46.15,21.67,82.62,34.17,2021,Low,Low,Medium,Medium
Brasilien,4.97,11.35,43.8,22.68,76.22,32.51,2021,Low,Low,Medium,Medium
Neuseeland,4.96,17.59,28.2,16.06,47.45,21.08,2021,High,Low,Very Low,Very Low
Seychellen,4.89,11.94,40.97,18.23,64.82,39.86,2021,Low,Low,Low,Low
Italien,4.74,15.02,31.58,16.9,60.29,17.55,2021,High,Low,Very Low,Low
Bolivien,4.71,9.49,49.67,31.83,79.79,37.38,2021,Very Low,Low,High,High
Bosnien und Herzegowina,4.68,10.89,43.01,18.77,74.61,35.65,2021,Low,Low,Medium,Low
Nepal,4.66,8.51,54.76,32.9,83.28,48.1,2021,Very Low,Low,High,High
Australien,4.54,18.07,25.12,15.66,43.67,16.02,2021,High,Low,Very Low,Very Low
St. Lucia,4.52,9.83,45.96,23.68,74.26,39.95,2021,Low,Low,Medium,Medium
Irland,4.49,16.68,26.9,15.4,47.66,17.65,2021,High,Low,Very Low,Very Low
Laos,4.46,8.01,55.64,32.86,82.91,51.14,2021,Very Low,Low,High,High
Kuwait,4.32,11.9,36.28,14.12,70.09,24.64,2021,Low,Low,Low,Very Low
Bahamas,4.27,11.63,36.74,17.68,58.92,33.63,2021,Low,Low,Low,Low
Kroatien,4.16,12.04,34.55,17.36,63.67,22.63,2021,Low,Low,Low,Low
Bulgarien,4.16,11.93,34.9,21.11,58.78,24.8,2021,Low,Low,Low,Low
Jordanien,4.11,9.24,44.47,22.59,68.26,42.56,2021,Very Low,Low,Medium,Medium
Moldawien,4,9.63,41.51,21.56,68.87,34.1,2021,Low,Low,Low,Low
Ver. Staaten von Amerika,3.98,13.03,30.58,15.92,54.15,21.68,2021,Medium,Low,Very Low,Very Low
Botswana,3.94,8.23,47.86,32.44,71.83,39.3,2021,Very Low,Low,Medium,High
Spanien,3.62,11.77,30.73,15.86,58.22,18.11,2021,Low,Low,Very Low,Very Low
Paraguay,3.56,7.43,47.98,24.11,79.92,39.9,2021,Very Low,Low,Medium,Medium
Russische Föderation,3.53,9.5,37.21,18.64,65.83,27.15,2021,Very Low,Low,Low,Low
Portugal,3.52,11.6,30.38,16.6,51.49,23.04,2021,Low,Low,Very Low,Very Low
Argentinien,3.52,9.6,36.63,20.35,60.27,29.27,2021,Low,Low,Low,Low
Vereinigtes Königreich,3.51,12.58,27.92,16.18,48.71,18.87,2021,Medium,Low,Very Low,Very Low
Kasachstan,3.48,9.34,37.29,17.64,65.09,29.15,2021,Very Low,Low,Low,Low
Libyen,3.47,7.37,47.12,22.65,83.76,34.94,2021,Very Low,Low,Medium,Medium
Slowenien,3.42,11.4,30.04,14.87,56.15,19.09,2021,Low,Low,Very Low,Very Low
Slowakei,3.33,10.1,32.97,14.84,59.15,24.93,2021,Low,Low,Very Low,Very Low
Bhutan,3.25,6.9,47.12,23.72,72.44,45.21,2021,Very Low,Very Low,Medium,Medium
Zypern,3.21,8.97,35.78,15.24,67.63,24.46,2021,Very Low,Very Low,Low,Very Low
Vereinigte Arabische Emirate,3.14,10.48,29.97,9.82,54.52,25.57,2021,Low,Very Low,Very Low,Very Low
Südkorea,3.13,11.4,27.45,13.36,48.48,20.5,2021,Low,Very Low,Very Low,Very Low
Polen,3.07,9.45,32.46,15.56,59.65,22.17,2021,Very Low,Very Low,Very Low,Very Low
Österreich,3.06,13.08,23.41,13.87,41,15.35,2021,Medium,Very Low,Very Low,Very Low
Tschechische Republik,3.06,10.76,28.46,15.09,49.48,20.8,2021,Low,Very Low,Very Low,Very Low
Lettland,3.01,8.8,34.21,18.9,60.06,23.67,2021,Very Low,Very Low,Very Low,Low
Mongolei,2.98,6.91,43.09,29.02,64.44,35.81,2021,Very Low,Very Low,Medium,High
Bahrain,2.93,7.33,39.94,15.31,76.81,27.71,2021,Very Low,Very Low,Low,Very Low
Norwegen,2.87,10.84,26.48,13.8,42.79,22.86,2021,Low,Very Low,Very Low,Very Low
Kanada,2.81,10.36,27.1,15.07,47.49,18.73,2021,Low,Very Low,Very Low,Very Low
Israel,2.81,8.45,33.3,18.51,58.57,22.83,2021,Very Low,Very Low,Very Low,Low
Dänemark,2.79,11.92,23.43,14.9,40.09,15.3,2021,Low,Very Low,Very Low,Very Low
Ukraine,2.72,6.92,39.36,18.83,68.43,30.81,2021,Very Low,Very Low,Low,Low
Belgien,2.71,11.41,23.79,14.66,42.49,14.22,2021,Low,Very Low,Very Low,Very Low
Deutschland,2.66,11.51,23.12,15.02,38.35,16,2021,Low,Very Low,Very Low,Very Low
Belarus,2.64,8,32.96,16.68,56.36,25.84,2021,Very Low,Very Low,Very Low,Very Low
São Tomé and Príncipe,2.57,4.54,56.6,45.67,77.23,46.9,2021,Very Low,Very Low,High,Very High
Oman,2.54,6.04,42.02,23.68,66.65,35.73,2021,Very Low,Very Low,Low,Medium
Luxemburg,2.53,9.57,26.41,11.86,47.15,20.23,2021,Very Low,Very Low,Very Low,Very Low
Frankreich,2.51,9.63,26.06,16.68,45.1,16.41,2021,Low,Very Low,Very Low,Very Low
Singapur,2.5,8.88,28.1,10.34,54.01,19.94,2021,Very Low,Very Low,Very Low,Very Low
Schweden,2.25,8.8,25.62,15.63,45.43,15.81,2021,Very Low,Very Low,Very Low,Very Low
Litauen,2.18,7.35,29.72,18.17,50.01,20.99,2021,Very Low,Very Low,Very Low,Low
Schweiz,2.04,9.01,22.68,13.97,38.92,15.14,2021,Very Low,Very Low,Very Low,Very Low
Finnland,2,8.26,24.24,15.78,41.2,15.75,2021,Very Low,Very Low,Very Low,Very Low
Estland,1.99,6.51,30.52,16.6,53.61,21.35,2021,Very Low,Very Low,Very Low,Very Low
Ägypten,1.82,3.76,48.33,22.22,83.15,39.62,2021,Very Low,Very Low,High,Medium
Island,1.71,7.14,23.95,13.99,43.2,14.67,2021,Very Low,Very Low,Very Low,Very Low
Malediven,1.69,4.18,40.39,15.59,65.82,39.76,2021,Very Low,Very Low,Low,Very Low
Barbados,1.37,3.61,37.96,20.66,60.11,33.12,2021,Very Low,Very Low,Low,Low
Grenada,1.06,2.4,43.98,26.36,69.21,36.38,2021,Very Low,Very Low,Medium,Medium
Saudi-Arabien,0.94,2.58,36.46,13.83,68.21,27.34,2021,Very Low,Very Low,Low,Very Low
St. Vincent u. die Grenadinen,0.7,1.62,43,28.16,69.86,30.97,2021,Very Low,Very Low,Medium,Medium
Malta,0.69,2.31,29.96,15.04,54.76,20.09,2021,Very Low,Very Low,Very Low,Very Low
Katar,0.3,0.85,34.8,9.03,65.03,30.34,2021,Very Low,Very Low,Low,Very Low
